Headlines,URLs
Capitol agenda: Trump’s tariff test - Politico,https://www.politico.com/live-updates/2025/04/02/congress/what-were-watching-00265589
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,https://pagesix.com/2025/04/02/parents/travis-kelce-meets-jason-and-kylies-4th-baby-finnley-on-new-heights-podcast/
DR Congo coup attempt: Three Americans have death sentence overturned - BBC,https://www.bbc.com/news/articles/czx1vdqrvl2o
"French judges in Marine Le Pen case face death threats, police launch probe - France 24",https://www.france24.com/en/france/20250402-french-judges-in-marine-le-pen-case-face-death-threats-police-launch-probe
Boeing CEO faces Senate hearing on plane maker's recovery - CNBC,https://www.cnbc.com/2025/04/02/boeing-ceo-testifies-senate-hearing.html
"Latest Alzheimer’s lab tests focus on memory loss, not brain plaques : Shots - Health News - NPR",https://www.npr.org/sections/shots-health-news/2025/04/02/g-s1-57688/alzheimers-blood-spinal-fluid-tests-memory-loss-brain-plaques
Consulting Giants Offer Billions in Cuts to Federal Contracts. It Might Not Be Enough. - WSJ,https://www.wsj.com/business/consulting-giants-offer-billions-in-cuts-to-federal-contracts-it-might-not-be-enough-f7c872d2
"Israel’s military operation in Gaza Strip expanding to seize 'large areas,' defense minister says - AP News",https://apnews.com/article/israel-palestinians-hamas-war-news-gaza-operation-04-02-2025-6b653fc8fa1e6f0c1a0c8d322bd48ccc
Today is Trump's 'Liberation Day.' What does that mean for tariffs? - NPR,https://www.npr.org/2025/04/02/nx-s1-5345802/trump-tariffs-liberation-day
Supreme Court to decide if states can strip Planned Parenthood of Medicaid funds - NPR,https://www.npr.org/2025/04/02/nx-s1-5335626/supreme-court-south-carolina-medicaid-planned-parenthood
"Nintendo set to unveil Switch 2, follow-up to megahit game console - Al Jazeera",https://www.aljazeera.com/economy/2025/4/2/nintendo-set-to-unveil-switch-2-follow-up-to-megahit-game-console
"Where days of flooding rains, tornadoes and heavy snow will hit hardest - The Washington Post",https://www.washingtonpost.com/weather/2025/04/01/central-us-storms-flash-flooding-tornadoes-forecast/
Democrats’ win in Wisconsin court race also is a big loss for Elon Musk - AP News,https://apnews.com/article/wisconsin-supreme-court-elon-musk-81f71cdda271827ae281a77072a26bad
"Steph Curry scores 52, hits 12 3-pointers, as Warriors rally past Grizzlies - The Mercury News",https://www.mercurynews.com/2025/04/01/steph-curry-scores-52-hits-12-3-pointers-as-warriors-rally-past-grizzlies/
Here’s how the new NFL rules on kickoffs and overtime will work - AP News,https://apnews.com/article/nfl-rules-explainer-kickoff-05f6952530dbcc772f62190cad9d1ad6
"FDA lays off bird flu leadership, among steep cuts to senior veterinarians - CBS News",https://www.cbsnews.com/news/fda-lays-off-bird-flu-leadership-among-steep-cuts-to-senior-veterinarians/
Wisconsin voters approve constitutional voter ID amendment - WISN,https://www.wisn.com/article/wisconsin-voters-approve-constitutional-voter-id-amendment/64357959
